                  50                   2                  20
                   7                   0                  15        0.0354513902
                   7                   0                  16        0.0373316869
                   7                   0                  17        0.0311340485
                   7                   0                  18        0.0277729660
                   7                   0                  19        0.0266819467
                   7                   1                   0        0.5000000000
                   7                   1                   1        0.3866144377
                   7                   1                   2        0.2956896311
                   7                   1                   3        0.2406006661
                   7                   1                   4        0.1910551879
                   7                   1                   5        0.1412700297
                   7                   1                   6        0.1176488596
                   7                   1                   7        0.0990173097
                   7                   1                   8        0.0981342503
                   7                   1                   9        0.0967963078
                   7                   1                  10        0.0999506760
                   7                   1                  11        0.0761385916
                   7                   1                  12        0.0595540289
                   7                   1                  13        0.0526936029
                   7                   1                  14        0.0384813099
                   7                   1                  15        0.0324960378
                   7                   1                  16        0.0303493476
                   7                   1                  17        0.0238813319
                   7                   1                  18        0.0244584842
                   7                   1                  19        0.0214559581
                   8                   0                   0        0.5000000000
                   8                   0                   1        0.3575056298
                   8                   0                   2        0.2732246432
                   8                   0                   3        0.2362563726
                   8                   0                   4        0.1954098564
                   8                   0                   5        0.1627363425
                   8                   0                   6        0.1329574562
                   8                   0                   7        0.1232885915
                   8                   0                   8        0.1117009639
                   8                   0                   9        0.0928920248
                   8                   0                  10        0.0624727700
                   8                   0                  11        0.0189223486
                   8                   0                  12        0.0294026214
                   8                   0                  13        0.0307134480
                   8                   0                  14        0.0275292998
                   8                   0                  15        0.0293941815
                   8                   0                  16        0.0225562343
                   8                   0                  17        0.0191401331
                   8                   0                  18        0.0155759312
                   8                   0                  19        0.0166570065
                   8                   1                   0        0.5000000000
                   8                   1                   1        0.3653330481
                   8                   1                   2        0.2718337488
                   8                   1                   3        0.2193022266
                   8                   1                   4        0.1744216792
                   8                   1                   5        0.1430804879
                   8                   1                   6        0.1324412656
                   8                   1                   7        0.1019317629
                   8                   1                   8        0.0855474033
                   8                   1                   9        0.0668870828
                   8                   1                  10        0.0586112236
                   8                   1                  11        0.0420204437
                   8                   1                  12        0.0364048053
                   8                   1                  13        0.0237629398
                   8                   1                  14        0.0268414828
                   8                   1                  15        0.0209490922
                   8                   1                  16        0.0237021884
                   8                   1                  17        0.0173130905
                   8                   1                  18        0.0164728827
                   8                   1                  19        0.0157526937
                   9                   0                   0        0.5000000000
                   9                   0                   1        0.3679732659
                   9                   0                   2        0.2802832909
                   9                   0                   3        0.2153845916
                   9                   0                   4        0.1715341087
                   9                   0                   5        0.1269525352
                   9                   0                   6        0.0994950208
                   9                   0                   7        0.0803953265
                   9                   0                   8        0.0709858296
                   9                   0                   9        0.0688820853
                   9                   0                  10        0.0638439771
                   9                   0                  11        0.0510440746
                   9                   0                  12        0.0494312563
                   9                   0                  13        0.0389241372
                   9                   0                  14        0.0322971896
                   9                   0                  15        0.0256332342
                   9                   0                  16        0.0254802458
                   9                   0                  17        0.0211108901
                   9                   0                  18        0.0178052464
                   9                   0                  19        0.0158310883
                   9                   1                   0        0.5000000000
                   9                   1                   1        0.3639144356
                   9                   1                   2        0.2994764861
                   9                   1                   3        0.2351579689
                   9                   1                   4        0.1880717415
                   9                   1                   5        0.1390943646
                   9                   1                   6        0.0916152785
                   9                   1                   7        0.0758535378
                   9                   1                   8        0.0610169871
                   9                   1                   9        0.0442083458
                   9                   1                  10        0.0225102968
                   9                   1                  11        0.0043474949
                   9                   1                  12        0.0038242703
                   9                   1                  13        0.0073929077
                   9                   1                  14        0.0062555895
                   9                   1                  15       -0.0004441194
                   9                   1                  16        0.0018225498
                   9                   1                  17       -0.0001042613
                   9                   1                  18        0.0067954655
                   9                   1                  19        0.0030247120
                  10                   0                   0        0.5000000000
                  10                   0                   1        0.3612081984
                  10                   0                   2        0.2621024925
                  10                   0                   3        0.2039480382
                  10                   0                   4        0.1502515550
                  10                   0                   5        0.1157024738
                  10                   0                   6        0.1031330240
                  10                   0                   7        0.0783753223
                  10                   0                   8        0.0625532585
                  10                   0                   9        0.0514151700
                  10                   0                  10        0.0420480067
                  10                   0                  11        0.0354950453
                  10                   0                  12        0.0334643945
                  10                   0                  13        0.0296511171
                  10                   0                  14        0.0274458758
                  10                   0                  15        0.0248556786
                  10                   0                  16        0.0175616532
                  10                   0                  17        0.0183415880
                  10                   0                  18        0.0132160163
                  10                   0                  19        0.0125324342
                  10                   1                   0        0.5000000000
                  10                   1                   1        0.3834385304
                  10                   1                   2        0.2827087313
                  10                   1                   3        0.2219432999
                  10                   1                   4        0.1693501372
                  10                   1                   5        0.1510793897
                  10                   1                   6        0.1243563111
                  10                   1                   7        0.0928951730
                  10                   1                   8        0.0827914666
                  10                   1                   9        0.0662627905
                  10                   1                  10        0.0519049376
                  10                   1                  11        0.0320662744
                  10                   1                  12        0.0210367154
                  10                   1                  13        0.0192567693
                  10                   1                  14        0.0291175366
                  10                   1                  15        0.0293665387
                  10                   1                  16        0.0210694293
                  10                   1                  17        0.0143418979
                  10                   1                  18        0.0022727422
                  10                   1                  19        0.0009600884
                  11                   0                   0        0.5000000000
                  11                   0                   1        0.3789896488
                  11                   0                   2        0.2913604679
                  11                   0                   3        0.2351184946
                  11                   0                   4        0.2109519516
                  11                   0                   5        0.1661474853
                  11                   0                   6        0.1328126388
                  11                   0                   7        0.1002430133
                  11                   0                   8        0.0753494111
                  11                   0                   9        0.0696813500
                  11                   0                  10        0.0627746315
                  11                   0                  11        0.0491507609
                  11                   0                  12        0.0442579827
                  11                   0                  13        0.0313515425
                  11                   0                  14        0.0315095572
                  11                   0                  15        0.0205921940
                  11                   0                  16        0.0179037629
                  11                   0                  17        0.0177531981
                  11                   0                  18        0.0127909211
                  11                   0                  19        0.0121936628
                  11                   1                   0        0.5000000000
                  11                   1                   1        0.3783341111
                  11                   1                   2        0.2957538493
                  11                   1                   3        0.2355961738
                  11                   1                   4        0.1710011093
                  11                   1                   5        0.1395778680
                  11                   1                   6        0.1171994597
                  11                   1                   7        0.0923171826
                  11                   1                   8        0.0695913803
                  11                   1                   9        0.0567387752
                  11                   1                  10        0.0476973395
                  11                   1                  11        0.0398692853
                  11                   1                  12        0.0380078201
                  11                   1                  13        0.0357664797
                  11                   1                  14        0.0306369326
                  11                   1                  15        0.0260023782
                  11                   1                  16        0.0256043275
                  11                   1                  17        0.0189308959
                  11                   1                  18        0.0195822640
                  11                   1                  19        0.0139052163
                  12                   0                   0        0.5000000000
                  12                   0                   1        0.3761029110
                  12                   0                   2        0.2977958735
                  12                   0                   3        0.2239587673
                  12                   0                   4        0.1779499807
                  12                   0                   5        0.1547203986
                  12                   0                   6        0.1175568829
                  12                   0                   7        0.0995083457
                  12                   0                   8        0.0770297620
                  12                   0                   9        0.0727953963
                  12                   0                  10        0.0644630718
                  12                   0                  11        0.0500805799
                  12                   0                  12        0.0389361990
                  12                   0                  13        0.0297042800
                  12                   0                  14        0.0211760671
                  12                   0                  15        0.0182812155
                  12                   0                  16        0.0131477852
                  12                   0                  17        0.0136167539
                  12                   0                  18        0.0119971458
                  12                   0                  19        0.0114676134
                  12                   1                   0        0.5000000000
                  12                   1                   1        0.3710799793
                  12                   1                   2        0.2851169596
                  12                   1                   3        0.2279429598
                  12                   1                   4        0.1860995796
                  12                   1                   5        0.1418472610
                  12                   1                   6        0.1292893108
                  12                   1                   7        0.1010685502
                  12                   1                   8        0.0753052594
                  12                   1                   9        0.0614428953
                  12                   1                  10        0.0511323540
                  12                   1                  11        0.0421372402
